zip_code,Number of returns [2],Earned income credit [11],Number with paid preparer's signature,eitc_rate,paid_preparer_rate,poverty_rate,disability_rate
94621,13500.0,3290,8820.0,24.37037037037037,65.33333333333333,19.9,10.8
94601,21680.0,4440,13310.0,20.479704797047972,61.392988929889306,18.7,10.5
94603,15390.0,3110,10300.0,20.207927225471085,66.92657569850552,13.5,11.0
94606,16910.0,3150,8700.0,18.628030751034892,51.4488468361916,16.7,12.6
94607,12990.0,2160,5770.0,16.628175519630485,44.41878367975365,19.4,14.2
94578,18650.0,2800,10920.0,15.013404825737265,58.552278820375335,12.3,11.7
94605,19730.0,2770,10940.0,14.03953370501774,55.44855549923974,13.1,11.4
94579,11190.0,1340,6650.0,11.974977658623772,59.42806076854335,8.6,11.9
94541,30710.0,3540,19100.0,11.527189840442853,62.19472484532725,11.1,12.6
94577,23710.0,2700,13780.0,11.387600168705188,58.11893715731758,7.2,10.3
94544,36480.0,4150,23630.0,11.37609649122807,64.77521929824562,9.0,9.4
94609,11420.0,1220,4800.0,10.683012259194395,42.03152364273205,10.1,9.1
94608,15590.0,1580,6560.0,10.13470173187941,42.07825529185375,13.8,10.3
94612,9700.0,970,3620.0,10.0,37.31958762886598,20.2,16.2
94580,14600.0,1460,8840.0,10.0,60.54794520547945,6.6,13.9
94710,3930.0,370,1920.0,9.414758269720101,48.854961832061065,9.3,14.5
94619,11580.0,1070,6300.0,9.24006908462867,54.40414507772021,5.0,9.1
94545,16190.0,1480,10010.0,9.141445336627548,61.828289067325514,8.7,11.3
94501,30900.0,2610,15410.0,8.446601941747572,49.8705501618123,8.2,9.8
94602,13900.0,1150,7310.0,8.273381294964029,52.58992805755396,7.4,10.9
94703,9380.0,750,4070.0,7.995735607675907,43.39019189765458,11.9,10.5
94546,22090.0,1740,12320.0,7.876867360796741,55.771842462652785,7.5,10.0
94704,5390.0,420,1740.0,7.792207792207792,32.28200371057514,47.5,7.6
94587,33580.0,2560,19170.0,7.623585467540203,57.08755211435378,6.6,9.8
94538,31450.0,2350,17150.0,7.472178060413355,54.531001589825124,5.0,7.9
94702,8300.0,620,3840.0,7.46987951807229,46.265060240963855,11.4,13.4
94542,6740.0,460,3850.0,6.824925816023739,57.12166172106825,7.5,6.8
94706,8980.0,590,4160.0,6.570155902004454,46.32516703786192,9.0,5.7
94560,23860.0,1540,13480.0,6.454316848281643,56.49622799664711,4.0,8.7
94536,31940.0,1850,17250.0,5.792110206637445,54.00751408891672,7.6,7.7
94551,19940.0,1140,10680.0,5.717151454363089,53.56068204613842,5.4,8.7
94610,16230.0,870,7530.0,5.360443622920517,46.39556377079482,8.1,9.8
94709,4490.0,240,1660.0,5.3452115812917596,36.97104677060133,19.6,9.0
94555,15720.0,730,7730.0,4.643765903307888,49.17302798982188,3.9,5.2
94550,23340.0,1020,12370.0,4.370179948586118,52.99914310197087,3.4,9.2
94568,29790.0,1300,14630.0,4.36388049681101,49.110439744880836,3.9,5.9
94705,6880.0,290,3590.0,4.215116279069767,52.18023255813954,9.0,9.0
94611,20320.0,780,10890.0,3.8385826771653546,53.59251968503938,6.1,9.2
94552,7040.0,270,3680.0,3.835227272727273,52.27272727272727,5.1,6.9
94588,15840.0,570,8150.0,3.5984848484848486,51.4520202020202,6.3,7.2
94566,20620.0,680,10740.0,3.2977691561590685,52.08535402521824,4.4,8.4
94539,25000.0,810,11480.0,3.2399999999999998,45.92,3.7,6.1
94502,6830.0,220,3520.0,3.22108345534407,51.53733528550512,2.5,7.2
94618,8390.0,240,4510.0,2.860548271752086,53.75446960667462,4.9,8.4
94708,5730.0,150,3360.0,2.6178010471204187,58.63874345549738,5.7,8.5
94707,6730.0,170,4040.0,2.526002971768202,60.0297176820208,3.8,8.9
94586,510.0,0,320.0,0.0,62.745098039215684,6.0,10.5
