zip_code,Number of returns [2],Earned income credit [11],Number with paid preparer's signature,eitc_rate,paid_preparer_rate,poverty_rate,disability_rate,poverty_z,disability_z,preliminary_need_score,latitude,longitude,city,location
94704,5390.0,420,1740.0,7.792207792207792,32.28200371057514,47.5,7.6,5.144962198224153,-0.8941153750252478,2.125423411599453,37.866417,-122.260922,Berkeley,Berkeley (94704)
94612,9700.0,970,3620.0,10.0,37.31958762886598,20.2,16.2,1.423500449229615,2.701918799951921,2.0627096245907683,37.807709,-122.266857,Oakland,Oakland (94612)
94607,12990.0,2160,5770.0,16.628175519630485,44.41878367975365,19.4,14.2,1.3144466250832547,1.8656317825153703,1.5900392037993125,37.808842,-122.304697,Oakland,Oakland (94607)
94606,16910.0,3150,8700.0,18.628030751034892,51.4488468361916,16.7,12.6,0.9463899685892896,1.1966021685661297,1.0714960685777095,37.791366,-122.244513,Oakland,Oakland (94606)
94710,3930.0,370,1920.0,9.414758269720101,48.854961832061065,9.3,14.5,-0.06235790476454084,1.9910748351308534,0.9643584651831563,37.863923,-122.306465,Berkeley,Berkeley (94710)
94621,13500.0,3290,8820.0,24.37037037037037,65.33333333333333,19.9,10.8,1.3826052651747298,0.4439438528732342,0.913274559023982,37.75113,-122.210178,Oakland,Oakland (94621)
94702,8300.0,620,3840.0,7.46987951807229,46.265060240963855,11.4,13.4,0.2239083836196543,1.5311169755407503,0.8775126795802023,37.866321,-122.286348,Berkeley,Berkeley (94702)
94601,21680.0,4440,13310.0,20.479704797047972,61.392988929889306,18.7,10.5,1.2190245289551898,0.31850080025775124,0.7687626646064705,37.77576,-122.218572,Oakland,Oakland (94601)
94541,30710.0,3540,19100.0,11.527189840442853,62.19472484532725,11.1,12.6,0.1830131995647692,1.1966021685661297,0.6898076840654495,37.673757,-122.087823,Hayward,Hayward (94541)
94580,14600.0,1460,8840.0,10.0,60.54794520547945,6.6,13.9,-0.43041456125850625,1.7401887298998882,0.654887084320691,37.678001,-122.133367,San Lorenzo,San Lorenzo (94580)
94578,18650.0,2800,10920.0,15.013404825737265,58.552278820375335,12.3,11.7,0.3465939357843094,0.8202730107196816,0.5834334732519955,37.706765,-122.125565,San Leandro,San Leandro (94578)
94605,19730.0,2770,10940.0,14.03953370501774,55.44855549923974,13.1,11.4,0.45564775993066936,0.6948299581041993,0.5752388590174343,37.761408,-122.150198,Oakland,Oakland (94605)
94603,15390.0,3110,10300.0,20.207927225471085,66.92657569850552,13.5,11.0,0.5101746720038495,0.527572554616889,0.5188736133103693,37.739266,-122.175548,Oakland,Oakland (94603)
94709,4490.0,240,1660.0,5.3452115812917596,36.97104677060133,19.6,9.0,1.3417100811198452,-0.308714462819662,0.5164978091500916,37.878291,-122.266252,Berkeley,Berkeley (94709)
94608,15590.0,1580,6560.0,10.13470173187941,42.07825529185375,13.8,10.3,0.5510698560587346,0.23487209851409646,0.3929709772864155,37.836844,-122.289143,Emeryville / Oakland,Emeryville / Oakland (94608)
94579,11190.0,1340,6650.0,11.974977658623772,59.42806076854335,8.6,11.9,-0.15778000089260605,0.9039017124633372,0.3730608557853656,37.6865,-122.157215,San Leandro,San Leandro (94579)
94703,9380.0,750,4070.0,7.995735607675907,43.39019189765458,11.9,10.5,0.29206702371112936,0.31850080025775124,0.30528391198444027,37.863715,-122.275684,Berkeley,Berkeley (94703)
94545,16190.0,1480,10010.0,9.141445336627548,61.828289067325514,8.7,11.3,-0.1441482728743111,0.653015607232372,0.25443366717903043,37.629761,-122.124238,Hayward,Hayward (94545)
