zip_code,Number of returns [2],Earned income credit [11],Number with paid preparer's signature,eitc_rate,paid_preparer_rate
90001,22540.0,6340,17920.0,28.127772848269743,79.5031055900621
90002,21180.0,6810,16230.0,32.15297450424929,76.62889518413598
90003,28580.0,9180,21770.0,32.12036389083275,76.17214835549335
90004,27970.0,4700,19090.0,16.803718269574546,68.25169824812299
90005,17480.0,2830,11170.0,16.189931350114417,63.901601830663616
90006,23430.0,5170,17150.0,22.065727699530516,73.19675629534784
90007,11750.0,2620,7310.0,22.29787234042553,62.21276595744681
90008,14180.0,3010,9250.0,21.227080394922424,65.23272214386459
90010,3210.0,330,2010.0,10.2803738317757,62.616822429906534
90011,40200.0,10810,31490.0,26.89054726368159,78.33333333333333
90012,12480.0,2050,6990.0,16.42628205128205,56.00961538461539
90013,4710.0,710,2330.0,15.074309978768577,49.469214437367306
90014,3290.0,500,1680.0,15.19756838905775,51.06382978723404
90015,10840.0,1650,6600.0,15.22140221402214,60.88560885608856
90016,22790.0,4220,15270.0,18.51689337428697,67.00307152259764
90017,11140.0,1900,6750.0,17.0556552962298,60.592459605026924
90018,21510.0,4710,15280.0,21.896792189679218,71.03672710367272
90019,28650.0,4480,19300.0,15.636998254799304,67.36474694589877
90020,18270.0,3230,11920.0,17.67925561029009,65.24356869184456
90021,1440.0,220,990.0,15.277777777777779,68.75
90022,27670.0,6220,20930.0,22.4792193711601,75.64148897723166
90023,18120.0,4280,14030.0,23.62030905077263,77.42825607064017
90024,14690.0,740,9300.0,5.037440435670524,63.30837304288631
90025,25780.0,1540,14630.0,5.973622963537626,56.749418153607444
90026,30770.0,4440,19560.0,14.429639259018526,63.56841078973026
90027,22950.0,2850,13770.0,12.418300653594772,60.0
90028,16370.0,2890,8480.0,17.65424557116677,51.802076970067205
90029,16470.0,2940,10740.0,17.850637522768668,65.20947176684882
90031,16100.0,3430,11280.0,21.304347826086957,70.06211180124224
90032,19310.0,3440,13310.0,17.81460383221129,68.9280165717245
90033,17830.0,4380,13110.0,24.565339315759953,73.52776219854178
90034,29690.0,2870,15790.0,9.666554395419332,53.18288986190637
90035,13530.0,1200,8600.0,8.869179600886918,63.562453806356245
90036,19350.0,1750,11240.0,9.043927648578812,58.08785529715762
90037,24770.0,7000,18850.0,28.259991925716594,76.10012111425111
90038,13730.0,2320,8560.0,16.89730517115805,62.34522942461762
90039,14850.0,1390,10050.0,9.36026936026936,67.67676767676768
90040,5750.0,1100,4320.0,19.130434782608695,75.13043478260869
90041,12540.0,1200,8500.0,9.569377990430622,67.78309409888357
90042,26890.0,3800,18000.0,14.131647452584604,66.93938267013759
90043,20760.0,4350,14310.0,20.953757225433524,68.9306358381503
90044,37490.0,11640,27560.0,31.048279541210988,73.51293678314217
90045,18310.0,1230,10980.0,6.717640633533588,59.96723102129984
90046,26240.0,2380,15190.0,9.070121951219512,57.88871951219512
90047,23620.0,5510,16300.0,23.3276883996613,69.00931414055886
90048,11910.0,760,7610.0,6.381192275398824,63.89588581024349
90049,17910.0,730,12820.0,4.075935231714126,71.58012283640424
90056,4420.0,410,3080.0,9.276018099547512,69.68325791855203
90057,16250.0,3320,11350.0,20.43076923076923,69.84615384615384
90058,1390.0,480,1050.0,34.53237410071942,75.53956834532374
90059,17810.0,5840,13140.0,32.79056709713644,73.77877596855699
